url,name,born,died,alma_mater,education,influences,notable_ideas,contributions,doctoral_advisors,doctoral_students,image_url
https://en.wikipedia.org/wiki/Stephen_Harper,Stephen Harper,1959-04-30,,"['University of Toronto', 'University of Calgary', 'BA', 'MA']",[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Peter_Reinhard_Hansen,Peter Reinhard Hansen,1968-06-15,,"['University of Copenhagen', 'UCSD', 'PhD 2000']",[],"['Soren Johansen', 'James D. Hamilton', 'Halbert White', 'Robert Engle']",[],[],[],[],[]
https://en.wikipedia.org/wiki/James_D._Hamilton,James D. Hamilton,1954-11-29,,"['University of California, Berkeley']",[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Daniel_S._Hamermesh,Daniel Hamermesh,1943-10-20,,"['Yale University', 'University of Chicago']",[],[],[],[],['Mark W. Leiserson'],[],[]
https://en.wikipedia.org/wiki/John_Haltiwanger,John C. Haltiwanger,1955-12-12,,"['Johns Hopkins University', 'Brown University']",[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Charles_Hall_(economist),Charles Hall,1740,1825,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Gottfried_Haberler,Gottfried Haberler,1900-07-20,(1995-05-06),['University of Vienna'],[],"['Friedrich von Wieser', 'Classical economics', 'French liberal school', 'Frédéric Bastiat', 'Jean-Baptiste Say', 'Gustave de Molinari', 'School of Salamanca']",[],[],"['Othmar Spann', 'Ludwig von Mises']",['Richard E. Caves'],[]
https://en.wikipedia.org/wiki/Andrew_Hughes_Hallett,Andrew Hughes Hallett,1947-11-01,(2019-12-31),[],"['University of Warwick', 'London School of Economics', 'Nuffield College, Oxford']",[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Robert_Hall_(economist),Robert E. Hall,1943-08-13,,"['Massachusetts Institute of Technology', 'University of California, Berkeley']",[],[],[],[],['Robert Solow'],[],[]
https://en.wikipedia.org/wiki/Steve_H._Hanke,Steve H. Hanke,1942-12-29,,['University of Colorado Boulder'],[],"['Friedrich Hayek', 'Milton Friedman', 'Robert Mundell', 'Kenneth Boulding', 'Peter Thomas Bauer', 'Ronald Coase']",[],"['Currency board', 'Dollarization', 'Hyperinflation', 'Hanke–Henry Permanent Calendar', 'Privatization', 'Water resources']",[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Prof._Hanke_at_desk_Cropped.jpg/220px-Prof._Hanke_at_desk_Cropped.jpg
https://en.wikipedia.org/wiki/Trygve_Haavelmo,Trygve Magnus Haavelmo,1911-12-13,(1999-07-26),['University of Oslo'],[],"['John Maynard Keynes', 'Ragnar Frisch', 'Jan Tinbergen']",[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Trygve_Haavelmo.jpg/220px-Trygve_Haavelmo.jpg
https://en.wikipedia.org/wiki/Faruk_G%C3%BCl,Faruk Gül,,,[],[],[],[],[],['Hugo F. Sonnenschein'],[],[]
https://en.wikipedia.org/wiki/Maria-Carmen_Guisan,María del Carmen Guisán,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Dominique_Guellec,Dominique Guellec,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Rebeca_Grynspan,Rebeca Grynspan,1955-12-14,,"['University of Costa Rica', 'University of Sussex']",[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Jonathan_Gruber_(economist),Jon Gruber,1965-09-30,,[],"['Massachusetts Institute of Technology', 'BS', 'Harvard University', 'MA', 'PhD']",[],[],[],"['Lawrence F. Katz', '1']","['Susan Dynarski', '2', 'Amy Finkelstein', '3', 'Melissa Kearney', 'Ebonya Washington', '4', 'Botond Kőszegi', '5', 'Amanda Kowalski']",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Jonathan_Gruber_at_US_House_Oversight_Cmte_in_2014.jpg/220px-Jonathan_Gruber_at_US_House_Oversight_Cmte_in_2014.jpg
https://en.wikipedia.org/wiki/Gu_Zhun,Gu Zhun,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Gene_Grossman,Gene M. Grossman,1955-12-11,,"['MIT', 'Yale University']",[],[],[],[],"['Jagdish N. Bhagwati', '1']",[],[]
https://en.wikipedia.org/wiki/Henryk_Grossman,Henryk Grossman,1881-04-14,(1950-11-24),[],[],"['Carl Grünberg', 'Karl Marx', 'Jean de Sismondi', '1']",[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Henryk_Grossman.jpg/220px-Henryk_Grossman.jpg
https://en.wikipedia.org/wiki/Elgin_Groseclose,Elgin Groseclose,1899,1983,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Zvi_Griliches,Zvi Griliches,1930-09-12,(1999-11-04),[],"['University of California, Berkeley', 'BS', 'University of Chicago', 'PhD']",['Arnold Harberger'],[],['econometrics'],[],[],[]
https://en.wikipedia.org/wiki/Stephany_Griffith-Jones,Stephany Griffith-Jones,1947-06-05,,[],"['University of Chile', '1', 'BA', 'Cambridge University', 'PhD']","['John Maynard Keynes', 'Hyman Minsky', 'James Tobin', 'Charles P. Kindleberger', 'John Kenneth Galbraith', 'Joseph Stiglitz']",[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Stephany_Griffith-Jones.jpg/220px-Stephany_Griffith-Jones.jpg
